shi_en,shi_ar,shi_lat,shi_lon,dis_en,dis_ar,slug,dis_lat,dis_lon,gov_en,gov_ar
Manshaat Kassab,منشأةكساب,29.08,30.973,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Manshaat Keshk,منشأةكشك,30.775,31.462,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Manshaat Kamal,منشأة كمال,29.247,30.943,Fayyum,مركز الفيوم,fayyum-eg2302,29.3,30.955,Fayoum,الفيوم
Manshaat Lotfallah,منشأةلطف الله,28.444,30.794,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Manshaat Lamloum,منشأةلملوم,28.642,30.804,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Manshaat Mubarak,منشأة مبارك,31.152,31.608,Minya Al-Nasr,مركز منية النصر,minya-al-nasr-eg1214,31.154,31.707,Dakahlia,الدقهلية
Manshaat Mohamed,منشأة محمد,30.707,30.971,Tala,مركز تلا,tala-eg1707,30.67,30.946,Menoufia,المنوفية
Manshaat Mohamed El-Wakil,منشأةمحمد الوكيل,31.022,30.53,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Manshaat Masged El-Khadr,منشأةمسجد الخضر,30.462,31.132,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Manshaat Mosbeh,منشأةمصبح,30.991,31.687,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,Dakahlia,الدقهلية
Manshaat Manbal,منشأةمنب ال,28.4,30.699,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Manshaat Mansour,منشأةمنصور,30.849,31.28,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Manshaat Manqateen,منشأةمنقطين,28.355,30.683,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Manshaat Nasser,منشأةناصر,29.884,31.306,Hilwan,قسم حلوان,hilwan-eg0102,29.854,31.329,Cairo,القاهرة
Manshaat Nasser,منشأةناصر,30.038,31.286,Minshat Nasir,منشأةناصر,minshat-nasir-eg0134,30.043,31.284,Cairo,القاهرة
Manshaat Nasser,منشأةناصر,30.925,31.697,Awlad Saqr,مركز أولاد صقر,awlad-saqr-eg1319,30.969,31.777,Sharkia,الشرقية
Manshaat Nabhan,منشأةنبهان,30.715,31.852,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Manshaat Nassar,منشأةنصار,31.086,30.409,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Manshaat Niazi,منشأةنيازي,28.619,30.683,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Manshaat Hodeib,منشأةهديب,29.199,30.981,Nasir,مركز ناصر,nasir-eg2209,29.187,31.078,Beni Suef,بنى سويف
Manshaat Helal,منشأةهل ال,30.815,31.416,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Manshaat Hammam,منشأةهمام,27.027,31.362,Al- Badari,مركز البدارى,al-badari-eg2506,26.946,31.456,Assiut,أسيوط
Manshaat Howeidy,منشأةهويدي,29.391,30.681,Abshaway,مركز أبشواى,abshaway-eg2303,29.374,30.69,Fayoum,الفيوم
Manshaat Youssef Mansour,منشأةيوسفمنصور,30.87,31.651,Kafr Saqr,مركز كفر صقر,kafr-saqr-eg1313,30.837,31.675,Sharkia,الشرقية
Manshaat Younes,منشأةيونس,31.109,30.172,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Manshaat Abaza,منشأه اباظه,30.592,31.519,Zaqaziq 1,قسم اول الزقازيق,zaqaziq-1-eg1301,30.585,31.513,Sharkia,الشرقية
Manshaat El-Baqlly,منشاه البقلى,30.828,31.304,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Manshaat El-Gazaer,منشأه الجزائر,29.28,30.884,Fayyum,مركز الفيوم,fayyum-eg2302,29.3,30.955,Fayoum,الفيوم
Manshaat El-Nasr - Manshaat Kamel,منشأه النصر - منشأه كامل,27.86,30.783,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Manshaat Alouba,منشاهعلوبه,30.958,30.137,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,Behera,البحيرة
Manshiet Abu Amer,منشية أبو عامر,30.853,31.876,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
Manshiet El-Omaraa,منشية الأمراء,31.035,31.189,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Manshiet El-Awqaf,منشية الأوقاف,30.846,31.017,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Manshiet El-Awqaf,منشية الأوقاف,31.101,31.093,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Manshiet El-Awqaf,منشية الأوقاف,31.08,30.477,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Manshiet El-Bakry,منشية البكري,30.085,31.31,Misr al-Gadida,قسم مصرالجديدة,misr-al-gadida-eg0128,30.091,31.327,Cairo,القاهرة
Manshiet El-Tahrir,منشية التحرير,30.113,31.324,Ain Shams,قسم عينشمس,ain-shams-eg0130,30.123,31.33,Cairo,القاهرة
Manshiet El-Raghamah,منشية الرغامة,24.549,32.935,Kum Umbu,مركز كوم امبو,kum-umbu-eg2804,24.48,32.947,Aswan,أسوان
Manshiet El-Salam,منشية السلام,30.962,31.658,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,Dakahlia,الدقهلية
Manshiet El-Sheriey,منشية الشريعي,28.238,30.642,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Manshiet El-Sheikh El-Mahrouqy,منشية الشيخ المحروقي,30.853,30.825,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Manshiet El-Sadr,منشية الصدر,30.085,31.288,Hadaiq Al-Qubba,قسم حدائقالقبة,hadaiq-al-qubba-eg0123,30.086,31.283,Cairo,القاهرة
Manshiet El-Arab,منشية العرب,30.609,31.215,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Manshiet El-Ammar,منشية العمار,30.347,31.15,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,Kalyoubia,القليوبية
Manshiet El-Qady,منشية القاضي,30.79,31.797,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Manshiet El-Masry,منشية المصري,29.953,31.281,Tura,قسم طره,tura-eg0105,29.939,31.38,Cairo,القاهرة
Manshiet Awqaf Laqana,منشيةأوقافلقانة,31.029,30.626,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Manshiet Beshara El-Tahawy,منشيةبشارة الطحاوي,30.882,31.938,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
Manshiet Ganzour,منشيةجنزور,30.738,30.996,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Manshiet Hamada,منشية حمادة,31.043,30.65,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Manshiet Debono,منشيةدبونو,31.271,30.377,Idku,مركز إدكو,idku-eg1816,31.298,30.325,Behera,البحيرة
Manshiet Radwan,منشيةرضوان,30.148,31.038,Imbaba,مركز إمبابة,imbaba-eg2113,30.22,30.963,Giza,الجيزة
Manshiet Sakran,منشيةسكران,29.323,30.727,Fayyum,مركز الفيوم,fayyum-eg2302,29.3,30.955,Fayoum,الفيوم
Manshiet Tanbara,منشيةطنبارة,31.106,31.128,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Manshiet Abdel Latif Waked,منشيةعبد اللطيفواكد,30.849,31.644,Kafr Saqr,مركز كفر صقر,kafr-saqr-eg1313,30.837,31.675,Sharkia,الشرقية
Manshiet Alwan,منشية علوان,31.269,30.481,Rashid,مركز رشيد,rashid-eg1809,31.379,30.375,Behera,البحيرة
Manshiet Fadel,منشيةفاضل,29.698,31.27,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,Giza,الجيزة
Manshiet El-Sharfaa,منشية الشرفا,30.939,31.651,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,Dakahlia,الدقهلية
Manshiet El-Gharby,منشية الغربى,30.944,31.627,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,Dakahlia,الدقهلية
Manshiet Nasser,منشيه ناصر,31.408,31.566,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Mansouret Namoul,منصورةنامول,30.325,31.235,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,Kalyoubia,القليوبية
Mansouriet El-Farastaq,منصورية الفرستق,30.769,30.795,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Mantaqat El-Zamam El-Mostagadda,منطقة الزمام المستجدة,30.686,30.649,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Mantaqat Hodoud Aswan,منطقة حدود اسوان,24.007,32.894,Aswan,مركز أسوان,aswan-eg2802,23.972,32.831,Aswan,أسوان
Mantaqat El-Sadd El-Aaly,منطقة السد الع الي,23.988,32.899,Aswan,مركز أسوان,aswan-eg2802,23.972,32.831,Aswan,أسوان
Mantaqat El-Hadid wal Solb,منطقة الحديد والصلب,24.003,32.905,Aswan,مركز أسوان,aswan-eg2802,23.972,32.831,Aswan,أسوان
Mantaqat El-Cinema,منطقة السينما,30.06,31.326,Nasr City,قسم أول مدينة نصر,nasr-city-eg0126,30.032,31.369,Cairo,القاهرة
Mantaqat Managem El-Fosfat,منطقةمناجم الفوسفات,25.081,32.929,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
Mantaqat Khazan Aswan,منطقه خزان اسوان,23.997,32.864,Aswan,قسم أسوان,aswan-eg2801,24.063,32.901,Aswan,أسوان
Mantey,منطي,30.142,31.245,Qalyub,مركز قليوب,qalyub-eg1410,30.207,31.214,Kalyoubia,القليوبية
Manqabad,منقباد,27.193,31.115,Assuit,مركز أسيوط,assuit-eg2503,27.117,31.232,Assiut,أسيوط
Manqarish,منقريش,29.099,31.115,Bani Swayf,مركز بنى سويف,bani-swayf-eg2202,29.098,31.042,Beni Suef,بنى سويف
Manqateen,منقطين,28.327,30.669,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Manhara,منهرة,29.077,30.935,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Manharou,منهرو,29.101,30.923,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Manhary,منهري,27.955,30.834,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Minyet Messir,منية مسير,31.082,31.018,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Minyet Toukh,منية طوخ,30.836,31.106,Santa,مركز السنطة,santa-eg1604,30.773,31.119,Gharbia,الغربية
Minyet Abyar,منيةأبيار,30.859,30.874,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Minyet El-Bandara,منية البندرة,30.824,31.117,Santa,مركز السنطة,santa-eg1604,30.773,31.119,Gharbia,الغربية
Minyet El-Geid,منية الجيد,28.907,30.951,Biba,مركز ببا,biba-eg2207,28.951,30.967,Beni Suef,بنى سويف
Minyet El-Raqqa,منية الرقة,29.434,31.221,Atfeh,مركز أطفيح,atfeh-eg2115,29.343,31.25,Giza,الجيزة
Minyet El-Sebaa,منية السباع,30.463,31.232,Banha,مركز بنها,banha-eg1402,30.443,31.248,Kalyoubia,القليوبية
Minyet El-Saeed,منية السعيد,31.253,30.487,Al-Mahmudiyya,مركز المحمودية,al-mahmudiyya-eg1806,31.197,30.488,Behera,البحيرة
Minyet El-Seirg,منية السيرج,30.098,31.254,Al Sahil,قسم الساحل,al-sahil-eg0121,30.092,31.247,Cairo,القاهرة
Minyet El-Morshed,منية المرشد,31.344,30.547,Mitubas,مركز مطوبس,mitubas-eg1510,31.383,30.47,Kafr El-Shikh,كفر الشيخ
Minyet Badawy,منيةبداوي,31.146,31.504,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Minyet Beni Mansour,منيةبنيمنصور,30.921,30.708,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Minyet Beni Mous,منيةبنيموس,31.091,30.58,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Minyet Ganag,منيةجناج,31.026,30.739,Disuq,مركز دسوق,disuq-eg1506,31.15,30.72,Kafr El-Shikh,كفر الشيخ
Minyet Salama,منيةسلامة,31.087,30.682,Al-Rahmaniyya,مركز الرحمانية,al-rahmaniyya-eg1815,31.106,30.584,Behera,البحيرة
Minyet Salmant,منيةسلمنت,30.389,31.418,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
Minyet Samannoud,منية سمنود,30.956,31.267,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Minyet Santa,منيةسنتا,30.477,31.601,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
Minyet Sandoub,منية سندوب,31.006,31.399,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Minyet Shibin,منية شبين,30.321,31.336,Shibin al-Qanatir,مركز شبين القناطر,shibin-al-qanatir-eg1405,30.296,31.307,Kalyoubia,القليوبية
Minyet Shentena Ayash,منيةشنتناعياش,30.919,31.149,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Minyet Toukh Delka,منيةطوخدلكة,30.667,30.9,Tala,مركز تلا,tala-eg1707,30.67,30.946,Menoufia,المنوفية
Minyet Atiya,منية عطية,30.971,30.507,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Minyet Qallin,منية قلين,31.055,30.824,Qillin,مركز قلين,qillin-eg1509,31.085,30.817,Kafr El-Shikh,كفر الشيخ
Minyet Mahallat Damana,منية محلة دمنة,31.088,31.513,Mahalet Demna,مركز محلة دمنة,mahalet-demna-eg1219,31.09,31.513,Dakahlia,الدقهلية
Menyel El-Soltan,منيل السلطان,29.413,31.248,Atfeh,مركز أطفيح,atfeh-eg2115,29.343,31.25,Giza,الجيزة
Menyel El-Howeishat,منيل الهويشات,30.82,30.927,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Menyel Goweida,منيلجويدة,30.255,31.054,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Menyel Doweib wa Manshaatha,منيلدويبومنشأتها,30.338,31.026,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Menyel Shiha,منيلشيحة,29.946,31.244,Giza,مركز الجيزة,giza-eg2109,29.943,31.213,Giza,الجيزة
Menyel Arous,منيلعروس,30.221,31.031,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Menyel Gheidan,منيلغيضان,29.191,30.958,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Menyel Moussa,منيلموسي,29.017,30.966,Biba,مركز ببا,biba-eg2207,28.951,30.967,Beni Suef,بنى سويف
Menyel Hany,منيلهاني,29.138,30.946,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Mahdiya,مهدية,30.678,31.578,Hihya,مركز ههيا,hihya-eg1315,30.652,31.617,Sharkia,الشرقية
Mahdiya,مهدية,28.179,30.669,Markz Al Minya,مركز المنيا,markz-al-minya-eg2402,28.101,30.641,Menia,المنيا
Mahamsha,مهمشة,30.074,31.262,Al Sharabiyya,قسم الشرابية,al-sharabiyya-eg0118,30.082,31.264,Cairo,القاهرة
Moassaset El-Bustan,مؤسسة البستان,30.788,30.46,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Moussa Mezar,موسى ميزار,29.412,30.461,Yousef El sadeq,مركز يوسف الصديق,yousef-el-sadeq-eg2307,29.353,30.586,Fayoum,الفيوم
Mousha,موشا,27.11,31.236,Assuit,مركز أسيوط,assuit-eg2503,27.117,31.232,Assiut,أسيوط
Mounsa wa Ezbetaha,مونسةوعزبتها,30.355,30.888,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Miyana,ميانة,29.098,30.898,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Miyana El-Waqf,ميانة الوقف,28.678,30.844,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Mit Khaqan wa Hessetaha,ميت خاقان وحصتها,30.543,31.015,Shibin al-Kum,قسم شبين الكوم,shibin-al-kum-eg1701,30.556,31.0,Menoufia,المنوفية
Mit Sweid,ميت سويد,31.057,31.625,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,Dakahlia,الدقهلية
Mit Taref,ميت طريف,31.07,31.681,Dikirnis,مركز دكرنس,dikirnis-eg1209,31.093,31.78,Dakahlia,الدقهلية
Mit Assas,ميت عساس,30.998,31.291,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,Gharbia,الغربية
Mit Alwan,ميت علوان,31.097,30.959,Kafr Al-Shaykh,قسم كفر الشيخ,kafr-al-shaykh-eg1501,31.119,30.941,Kafr El-Shikh,كفر الشيخ
Mit Fares wa Kafrha,ميت فارس وكفرها,31.038,31.608,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,Dakahlia,الدقهلية
Mit Hashem,ميت هاشم,30.863,31.19,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,Gharbia,الغربية
Mit Abu El-Hares,ميتأب والحارس,30.905,31.256,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Mit Abu El-Hussein,ميت أبو الحسين,30.86,31.348,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Mit Abu El-Koum,ميت أبو الكوم,30.641,30.906,Tala,مركز تلا,tala-eg1707,30.67,30.946,Menoufia,المنوفية
Mit Abu Khaled wa Kafr Ali Badra,ميتأبوخ الدوكفرعليبدرة,30.646,31.354,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Mit Abu Sheikha,ميتأبوشيخة,30.551,31.075,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Mit Abu Arabi,ميتأبوعربي,30.678,31.399,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Mit Abu Ali,ميت أبو علي,30.538,31.492,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Mit Ashna,ميتأشنا,30.807,31.241,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Mit El-Ashraf,ميت الأشراف,31.21,30.57,Fuwwa,مركز فوه,fuwwa-eg1508,31.232,30.564,Kafr El-Shikh,كفر الشيخ
Mit El-Akrad,ميت الأكراد,30.984,31.434,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Mit El-Bazz,ميت البز,30.824,31.178,Zifta,مركز زفتى,zifta-eg1609,30.728,31.215,Gharbia,الغربية
Mit El-Beida,ميت البيضة,30.435,31.095,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Mit El-Haroun,ميت الحارون,30.631,31.257,Zifta,مركز زفتى,zifta-eg1609,30.728,31.215,Gharbia,الغربية
Mit El-Houfein,ميت الحوفين,30.521,31.212,Banha,مركز بنها,banha-eg1402,30.443,31.248,Kalyoubia,القليوبية
Mit El-Khouly Abdalla,ميت الخوليعبد اللا,31.198,31.633,Zarqa,مركز الزرقا,zarqa-eg1107,31.209,31.649,Damietta,دمياط
Mit El-Kheir,ميت الخير,30.912,30.838,Basyun,مركز بسيون,basyun-eg1608,30.959,30.827,Gharbia,الغربية
Mit El-Dereig,ميت الدريج,30.563,31.258,Kafr Shukr,مركز كفر شكر,kafr-shukr-eg1411,30.554,31.275,Kalyoubia,القليوبية
Mit El-Diba,ميت الديبة,31.123,30.863,Qillin,مركز قلين,qillin-eg1509,31.085,30.817,Kafr El-Shikh,كفر الشيخ
Mit El-Rakha,ميت الرخا,30.627,31.224,Zifta,مركز زفتى,zifta-eg1609,30.728,31.215,Gharbia,الغربية
Mit El-Serag,ميت السراج,31.071,31.209,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Mit El-Soudan,ميت السودان,31.101,31.63,Dikirnis,مركز دكرنس,dikirnis-eg1209,31.093,31.78,Dakahlia,الدقهلية
Mit El-Soudan,ميت السودان,30.86,30.969,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Mit El-Sheikh,ميت الشيخ,31.004,31.04,Qutur,مركز قطور,qutur-eg1611,30.971,30.97,Gharbia,الغربية
Mit El-Shioukh,ميت الشيوخ,31.36,31.723,Fariskur,مركز فارسكور,fariskur-eg1103,31.31,31.733,Damietta,دمياط
Mit El-Sarem,ميت الصارم,31.036,31.433,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Mit El-Amel,ميت العامل,30.899,31.342,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Mit El-Absy,ميت العبسي,30.577,31.246,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Mit El-Ezz,ميت العز,30.61,31.279,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Mit El-Ezz,ميت العز,30.71,31.775,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Mit El-Ezz,ميت العز,30.525,31.093,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Mit El-Attar,ميت العطار,30.438,31.142,Banha,مركز بنها,banha-eg1402,30.443,31.248,Kalyoubia,القليوبية
Mit El-Farmawy,ميت الفرماوي,30.697,31.341,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Mit El-Qayed,ميت القايد,29.533,31.249,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,Giza,الجيزة
Mit El-Qorashy,ميت القرشي,30.672,31.379,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Mit El-Qasry,ميت القصري,30.515,31.07,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Mit El-Karam,ميت الكرام,30.677,30.854,Tala,مركز تلا,tala-eg1707,30.67,30.946,Menoufia,المنوفية
Mit El-Koranaa,ميت الكرماء,31.063,31.34,Talkha,مركز طلخا,talkha-eg1211,31.109,31.383,Dakahlia,الدقهلية
Mit El-Leit Baqloula,ميت الليتبقلولة,30.756,31.088,Santa,مركز السنطة,santa-eg1604,30.773,31.119,Gharbia,الغربية
Mit El-Leit Hashem,ميت الليتهاشم,31.019,31.153,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Mit El-Mobashereen,ميت المباشرين,30.824,31.193,Zifta,مركز زفتى,zifta-eg1609,30.728,31.215,Gharbia,الغربية
Mit El-Mokhles,ميت المخلص,30.797,31.162,Zifta,مركز زفتى,zifta-eg1609,30.728,31.215,Gharbia,الغربية
Mit El-Moz,ميت الموز,30.581,31.071,Shibin al-Kum,مركز شبين الكوم,shibin-al-kum-eg1702,30.561,30.954,Menoufia,المنوفية
Mit El-Nahhal,ميت النح ال,31.12,31.547,Dikirnis,مركز دكرنس,dikirnis-eg1209,31.093,31.78,Dakahlia,الدقهلية
Mit El-Wosta,ميت الوسطي,30.45,31.092,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Mit Amsaleh,ميت أم صالح,30.651,31.044,Birkat Al-Sab,مركز بركة السبع,birkat-al-sab-eg1706,30.651,31.108,Menoufia,المنوفية
Mit Badr Halawa,ميتبدرحلاوة,30.858,31.233,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,Gharbia,الغربية
Mit Badr Khamis,ميتبدرخميس,31.034,31.349,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Mit Barho wa Kafr El-Shaheed,ميتبرهوكفر الشهيد,30.543,31.207,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Mit Bashar,ميتبشار,30.526,31.399,Minya al-Qamh,مركز منيا القمح,minya-al-qamh-eg1314,30.507,31.369,Sharkia,الشرقية
Mit Tamama,ميتتمامة,31.142,31.621,Minya Al-Nasr,مركز منية النصر,minya-al-nasr-eg1214,31.154,31.707,Dakahlia,الدقهلية
Mit Gaber,ميت جابر,30.461,31.44,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
Mit Garrah,ميتجراح,30.992,31.571,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Mit Habib,ميت حبيب,30.451,31.508,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
Mit Habib El-Sharqiya,ميت حبيب الشرقية,30.88,31.214,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,Gharbia,الغربية
Mit Habeish El-Bahariya,ميتحبيش البحرية,30.782,31.031,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Mit Habeish El-Qibliya,ميتحبيش القبلية,30.759,31.039,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Mit Hadeed,ميت حديد,31.118,31.675,Minya Al-Nasr,مركز منية النصر,minya-al-nasr-eg1214,31.154,31.707,Dakahlia,الدقهلية
Mit Halfa,ميتحلفا,30.157,31.245,Qalyub,مركز قليوب,qalyub-eg1410,30.207,31.214,Kalyoubia,القليوبية
Mit Hamal,ميتحمل,30.433,31.527,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
