neighborhood_en,neighborhood_ar,lat,lon,district_id,district_en,district_ar,governorate_en,governorate_ar
Manshaat Amro,منشأة عمرو,28.753,30.845,al-fashn-eg2204,Al Fashn,مركز الفشن,Beni Suef,بنى سويف
Manshaat Ghali Mansour,منشأةغ اليمنصور,30.68,31.504,hihya-eg1315,Hihya,مركز ههيا,Sharkia,الشرقية
Manshaat Ghorbal,منشأةغرب ال,31.022,30.485,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Manshaat Ghamrin,منشأةغمرين,30.474,30.906,minuf-eg1709,Minuf,مركز منوف,Menoufia,المنوفية
Manshaat Fadel,منشأةفاضل,30.804,30.521,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Manshaat Fetih,منشأةفتيح,29.312,30.801,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
Manshaat Faisal,منشأة فيصل,29.211,30.704,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
Manshaat Qassem,منشأةقاسم,30.776,31.488,dyarb-nigm-eg1310,Dyarb Nigm,مركز ديرب نجم,Sharkia,الشرقية
Manshaat Kaseb,منشأةكاسب,29.731,31.238,badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة
Manshaat Karam Rizq,منشأةكرمورزوق,31.249,31.743,fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط
Manshaat Kassab,منشأةكساب,29.08,30.973,ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف
Manshaat Keshk,منشأةكشك,30.775,31.462,dyarb-nigm-eg1310,Dyarb Nigm,مركز ديرب نجم,Sharkia,الشرقية
Manshaat Kamal,منشأة كمال,29.247,30.943,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
Manshaat Lotfallah,منشأةلطف الله,28.444,30.794,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Manshaat Lamloum,منشأةلملوم,28.642,30.804,markz-maghagha-eg2410,Markz Maghagha,مركز مغاغة,Menia,المنيا
Manshaat Mubarak,منشأة مبارك,31.152,31.608,minya-al-nasr-eg1214,Minya Al-Nasr,مركز منية النصر,Dakahlia,الدقهلية
Manshaat Mohamed,منشأة محمد,30.707,30.971,tala-eg1707,Tala,مركز تلا,Menoufia,المنوفية
Manshaat Mohamed El-Wakil,منشأةمحمد الوكيل,31.022,30.53,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Manshaat Masged El-Khadr,منشأةمسجد الخضر,30.462,31.132,al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية
Manshaat Mosbeh,منشأةمصبح,30.991,31.687,bany-abeed-eg1218,Bany Abeed,مركز بنى عبيد,Dakahlia,الدقهلية
Manshaat Manbal,منشأةمنب ال,28.4,30.699,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Manshaat Mansour,منشأةمنصور,30.849,31.28,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Manshaat Manqateen,منشأةمنقطين,28.355,30.683,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
Manshaat Nasser,منشأةناصر,29.884,31.306,hilwan-eg0102,Hilwan,قسم حلوان,Cairo,القاهرة
Manshaat Nasser,منشأةناصر,30.038,31.286,minshat-nasir-eg0134,Minshat Nasir,منشأةناصر,Cairo,القاهرة
Manshaat Nasser,منشأةناصر,30.925,31.697,awlad-saqr-eg1319,Awlad Saqr,مركز أولاد صقر,Sharkia,الشرقية
Manshaat Nabhan,منشأةنبهان,30.715,31.852,faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية
Manshaat Nassar,منشأةنصار,31.086,30.409,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Manshaat Niazi,منشأةنيازي,28.619,30.683,markz-maghagha-eg2410,Markz Maghagha,مركز مغاغة,Menia,المنيا
Manshaat Hodeib,منشأةهديب,29.199,30.981,nasir-eg2209,Nasir,مركز ناصر,Beni Suef,بنى سويف
Manshaat Helal,منشأةهل ال,30.815,31.416,sinbillawin-eg1205,Sinbillawin,مركز السنبلاوين,Dakahlia,الدقهلية
Manshaat Hammam,منشأةهمام,27.027,31.362,al-badari-eg2506,Al- Badari,مركز البدارى,Assiut,أسيوط
Manshaat Howeidy,منشأةهويدي,29.391,30.681,abshaway-eg2303,Abshaway,مركز أبشواى,Fayoum,الفيوم
Manshaat Youssef Mansour,منشأةيوسفمنصور,30.87,31.651,kafr-saqr-eg1313,Kafr Saqr,مركز كفر صقر,Sharkia,الشرقية
Manshaat Younes,منشأةيونس,31.109,30.172,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Manshaat Abaza,منشأه اباظه,30.592,31.519,zaqaziq-1-eg1301,Zaqaziq 1,قسم اول الزقازيق,Sharkia,الشرقية
Manshaat El-Baqlly,منشاه البقلى,30.828,31.304,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Manshaat El-Gazaer,منشأه الجزائر,29.28,30.884,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
Manshaat El-Nasr - Manshaat Kamel,منشأه النصر - منشأه كامل,27.86,30.783,markz-abu-qurqas-eg2404,Markz Abu Qurqas,مركز ابو قرقاص,Menia,المنيا
Manshaat Alouba,منشاهعلوبه,30.958,30.137,abu-l-matamir-eg1803,Abu-l-Matamir,مركز ابوالمطامير,Behera,البحيرة
Manshiet Abu Amer,منشية أبو عامر,30.853,31.876,al-husayniya-eg1306,Al-Husayniya,مركز الحسينية,Sharkia,الشرقية
Manshiet El-Omaraa,منشية الأمراء,31.035,31.189,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Manshiet El-Awqaf,منشية الأوقاف,30.846,31.017,tanta-eg1603,Tanta,مركز طنطا,Gharbia,الغربية
Manshiet El-Awqaf,منشية الأوقاف,31.101,31.093,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Manshiet El-Awqaf,منشية الأوقاف,31.08,30.477,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Manshiet El-Bakry,منشية البكري,30.085,31.31,misr-al-gadida-eg0128,Misr al-Gadida,قسم مصرالجديدة,Cairo,القاهرة
Manshiet El-Tahrir,منشية التحرير,30.113,31.324,ain-shams-eg0130,Ain Shams,قسم عينشمس,Cairo,القاهرة
Manshiet El-Raghamah,منشية الرغامة,24.549,32.935,kum-umbu-eg2804,Kum Umbu,مركز كوم امبو,Aswan,أسوان
Manshiet El-Salam,منشية السلام,30.962,31.658,tamy-al-amdid-eg1216,Tamy Al-Amdid,مركز تمى الأمديد,Dakahlia,الدقهلية
Manshiet El-Sheriey,منشية الشريعي,28.238,30.642,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
Manshiet El-Sheikh El-Mahrouqy,منشية الشيخ المحروقي,30.853,30.825,kafr-al-zayyat-eg1612,Kafr Al-Zayyat,مركز كفر الزيات,Gharbia,الغربية
Manshiet El-Sadr,منشية الصدر,30.085,31.288,hadaiq-al-qubba-eg0123,Hadaiq Al-Qubba,قسم حدائقالقبة,Cairo,القاهرة
Manshiet El-Arab,منشية العرب,30.609,31.215,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Manshiet El-Ammar,منشية العمار,30.347,31.15,tukh-eg1408,Tukh,مركز طوخ,Kalyoubia,القليوبية
Manshiet El-Qady,منشية القاضي,30.79,31.797,faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية
Manshiet El-Masry,منشية المصري,29.953,31.281,tura-eg0105,Tura,قسم طره,Cairo,القاهرة
Manshiet Awqaf Laqana,منشيةأوقافلقانة,31.029,30.626,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Manshiet Beshara El-Tahawy,منشيةبشارة الطحاوي,30.882,31.938,al-husayniya-eg1306,Al-Husayniya,مركز الحسينية,Sharkia,الشرقية
Manshiet Ganzour,منشيةجنزور,30.738,30.996,tanta-eg1603,Tanta,مركز طنطا,Gharbia,الغربية
Manshiet Hamada,منشية حمادة,31.043,30.65,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Manshiet Debono,منشيةدبونو,31.271,30.377,idku-eg1816,Idku,مركز إدكو,Behera,البحيرة
Manshiet Radwan,منشيةرضوان,30.148,31.038,imbaba-eg2113,Imbaba,مركز إمبابة,Giza,الجيزة
Manshiet Sakran,منشيةسكران,29.323,30.727,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
Manshiet Tanbara,منشيةطنبارة,31.106,31.128,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Manshiet Abdel Latif Waked,منشيةعبد اللطيفواكد,30.849,31.644,kafr-saqr-eg1313,Kafr Saqr,مركز كفر صقر,Sharkia,الشرقية
Manshiet Alwan,منشية علوان,31.269,30.481,rashid-eg1809,Rashid,مركز رشيد,Behera,البحيرة
Manshiet Fadel,منشيةفاضل,29.698,31.27,ayat-eg2112,Ayat,مركز العياط,Giza,الجيزة
Manshiet El-Sharfaa,منشية الشرفا,30.939,31.651,tamy-al-amdid-eg1216,Tamy Al-Amdid,مركز تمى الأمديد,Dakahlia,الدقهلية
Manshiet El-Gharby,منشية الغربى,30.944,31.627,tamy-al-amdid-eg1216,Tamy Al-Amdid,مركز تمى الأمديد,Dakahlia,الدقهلية
Manshiet Nasser,منشيه ناصر,31.408,31.566,kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط
Mansouret Namoul,منصورةنامول,30.325,31.235,tukh-eg1408,Tukh,مركز طوخ,Kalyoubia,القليوبية
Mansouriet El-Farastaq,منصورية الفرستق,30.769,30.795,kafr-al-zayyat-eg1612,Kafr Al-Zayyat,مركز كفر الزيات,Gharbia,الغربية
Mantaqat El-Zamam El-Mostagadda,منطقة الزمام المستجدة,30.686,30.649,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Mantaqat Hodoud Aswan,منطقة حدود اسوان,24.007,32.894,aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان
Mantaqat El-Sadd El-Aaly,منطقة السد الع الي,23.988,32.899,aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان
Mantaqat El-Hadid wal Solb,منطقة الحديد والصلب,24.003,32.905,aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان
Mantaqat El-Cinema,منطقة السينما,30.06,31.326,nasr-city-eg0126,Nasr City,قسم أول مدينة نصر,Cairo,القاهرة
Mantaqat Managem El-Fosfat,منطقةمناجم الفوسفات,25.081,32.929,adfu-eg2803,Adfu,مركز أدفو,Aswan,أسوان
Mantaqat Khazan Aswan,منطقه خزان اسوان,23.997,32.864,aswan-eg2801,Aswan,قسم أسوان,Aswan,أسوان
Mantey,منطي,30.142,31.245,qalyub-eg1410,Qalyub,مركز قليوب,Kalyoubia,القليوبية
Manqabad,منقباد,27.193,31.115,assuit-eg2503,Assuit,مركز أسيوط,Assiut,أسيوط
Manqarish,منقريش,29.099,31.115,bani-swayf-eg2202,Bani Swayf,مركز بنى سويف,Beni Suef,بنى سويف
Manqateen,منقطين,28.327,30.669,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
Manhara,منهرة,29.077,30.935,ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف
Manharou,منهرو,29.101,30.923,ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف
Manhary,منهري,27.955,30.834,markz-abu-qurqas-eg2404,Markz Abu Qurqas,مركز ابو قرقاص,Menia,المنيا
Minyet Messir,منية مسير,31.082,31.018,kafr-al-shaykh-eg1502,Kafr Al-Shaykh,مركز كفر الشيخ,Kafr El-Shikh,كفر الشيخ
Minyet Toukh,منية طوخ,30.836,31.106,santa-eg1604,Santa,مركز السنطة,Gharbia,الغربية
Minyet Abyar,منيةأبيار,30.859,30.874,kafr-al-zayyat-eg1612,Kafr Al-Zayyat,مركز كفر الزيات,Gharbia,الغربية
Minyet El-Bandara,منية البندرة,30.824,31.117,santa-eg1604,Santa,مركز السنطة,Gharbia,الغربية
Minyet El-Geid,منية الجيد,28.907,30.951,biba-eg2207,Biba,مركز ببا,Beni Suef,بنى سويف
Minyet El-Raqqa,منية الرقة,29.434,31.221,atfeh-eg2115,Atfeh,مركز أطفيح,Giza,الجيزة
Minyet El-Sebaa,منية السباع,30.463,31.232,banha-eg1402,Banha,مركز بنها,Kalyoubia,القليوبية
Minyet El-Saeed,منية السعيد,31.253,30.487,al-mahmudiyya-eg1806,Al-Mahmudiyya,مركز المحمودية,Behera,البحيرة
Minyet El-Seirg,منية السيرج,30.098,31.254,al-sahil-eg0121,Al Sahil,قسم الساحل,Cairo,القاهرة
Minyet El-Morshed,منية المرشد,31.344,30.547,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Minyet Badawy,منيةبداوي,31.146,31.504,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Minyet Beni Mansour,منيةبنيمنصور,30.921,30.708,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
Minyet Beni Mous,منيةبنيموس,31.091,30.58,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Minyet Ganag,منيةجناج,31.026,30.739,disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ
Minyet Salama,منيةسلامة,31.087,30.682,al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة
Minyet Salmant,منيةسلمنت,30.389,31.418,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
Minyet Samannoud,منية سمنود,30.956,31.267,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Minyet Santa,منيةسنتا,30.477,31.601,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
Minyet Sandoub,منية سندوب,31.006,31.399,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Minyet Shibin,منية شبين,30.321,31.336,shibin-al-qanatir-eg1405,Shibin al-Qanatir,مركز شبين القناطر,Kalyoubia,القليوبية
Minyet Shentena Ayash,منيةشنتناعياش,30.919,31.149,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Minyet Toukh Delka,منيةطوخدلكة,30.667,30.9,tala-eg1707,Tala,مركز تلا,Menoufia,المنوفية
Minyet Atiya,منية عطية,30.971,30.507,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Minyet Qallin,منية قلين,31.055,30.824,qillin-eg1509,Qillin,مركز قلين,Kafr El-Shikh,كفر الشيخ
Minyet Mahallat Damana,منية محلة دمنة,31.088,31.513,mahalet-demna-eg1219,Mahalet Demna,مركز محلة دمنة,Dakahlia,الدقهلية
Menyel El-Soltan,منيل السلطان,29.413,31.248,atfeh-eg2115,Atfeh,مركز أطفيح,Giza,الجيزة
Menyel El-Howeishat,منيل الهويشات,30.82,30.927,tanta-eg1603,Tanta,مركز طنطا,Gharbia,الغربية
Menyel Goweida,منيلجويدة,30.255,31.054,ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية
Menyel Doweib wa Manshaatha,منيلدويبومنشأتها,30.338,31.026,ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية
Menyel Shiha,منيلشيحة,29.946,31.244,giza-eg2109,Giza,مركز الجيزة,Giza,الجيزة
Menyel Arous,منيلعروس,30.221,31.031,ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية
Menyel Gheidan,منيلغيضان,29.191,30.958,ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف
Menyel Moussa,منيلموسي,29.017,30.966,biba-eg2207,Biba,مركز ببا,Beni Suef,بنى سويف
Menyel Hany,منيلهاني,29.138,30.946,ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف
Mahdiya,مهدية,30.678,31.578,hihya-eg1315,Hihya,مركز ههيا,Sharkia,الشرقية
Mahdiya,مهدية,28.179,30.669,markz-al-minya-eg2402,Markz Al Minya,مركز المنيا,Menia,المنيا
Mahamsha,مهمشة,30.074,31.262,al-sharabiyya-eg0118,Al Sharabiyya,قسم الشرابية,Cairo,القاهرة
Moassaset El-Bustan,مؤسسة البستان,30.788,30.46,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Moussa Mezar,موسى ميزار,29.412,30.461,yousef-el-sadeq-eg2307,Yousef El sadeq,مركز يوسف الصديق,Fayoum,الفيوم
Mousha,موشا,27.11,31.236,assuit-eg2503,Assuit,مركز أسيوط,Assiut,أسيوط
Mounsa wa Ezbetaha,مونسةوعزبتها,30.355,30.888,ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية
Miyana,ميانة,29.098,30.898,ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف
Miyana El-Waqf,ميانة الوقف,28.678,30.844,markz-maghagha-eg2410,Markz Maghagha,مركز مغاغة,Menia,المنيا
Mit Khaqan wa Hessetaha,ميت خاقان وحصتها,30.543,31.015,shibin-al-kum-eg1701,Shibin al-Kum,قسم شبين الكوم,Menoufia,المنوفية
Mit Sweid,ميت سويد,31.057,31.625,bany-abeed-eg1218,Bany Abeed,مركز بنى عبيد,Dakahlia,الدقهلية
Mit Taref,ميت طريف,31.07,31.681,dikirnis-eg1209,Dikirnis,مركز دكرنس,Dakahlia,الدقهلية
Mit Assas,ميت عساس,30.998,31.291,samannud-eg1610,Samannud,مركز سمنود,Gharbia,الغربية
Mit Alwan,ميت علوان,31.097,30.959,kafr-al-shaykh-eg1501,Kafr Al-Shaykh,قسم كفر الشيخ,Kafr El-Shikh,كفر الشيخ
Mit Fares wa Kafrha,ميت فارس وكفرها,31.038,31.608,bany-abeed-eg1218,Bany Abeed,مركز بنى عبيد,Dakahlia,الدقهلية
Mit Hashem,ميت هاشم,30.863,31.19,samannud-eg1610,Samannud,مركز سمنود,Gharbia,الغربية
Mit Abu El-Hares,ميتأب والحارس,30.905,31.256,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Mit Abu El-Hussein,ميت أبو الحسين,30.86,31.348,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Mit Abu El-Koum,ميت أبو الكوم,30.641,30.906,tala-eg1707,Tala,مركز تلا,Menoufia,المنوفية
Mit Abu Khaled wa Kafr Ali Badra,ميتأبوخ الدوكفرعليبدرة,30.646,31.354,mit-ghamr-eg1213,Mit Ghamr,مركز ميت غمر,Dakahlia,الدقهلية
Mit Abu Sheikha,ميتأبوشيخة,30.551,31.075,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Mit Abu Arabi,ميتأبوعربي,30.678,31.399,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
Mit Abu Ali,ميت أبو علي,30.538,31.492,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
Mit Ashna,ميتأشنا,30.807,31.241,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Mit El-Ashraf,ميت الأشراف,31.21,30.57,fuwwa-eg1508,Fuwwa,مركز فوه,Kafr El-Shikh,كفر الشيخ
Mit El-Akrad,ميت الأكراد,30.984,31.434,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Mit El-Bazz,ميت البز,30.824,31.178,zifta-eg1609,Zifta,مركز زفتى,Gharbia,الغربية
Mit El-Beida,ميت البيضة,30.435,31.095,al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية
Mit El-Haroun,ميت الحارون,30.631,31.257,zifta-eg1609,Zifta,مركز زفتى,Gharbia,الغربية
Mit El-Houfein,ميت الحوفين,30.521,31.212,banha-eg1402,Banha,مركز بنها,Kalyoubia,القليوبية
Mit El-Khouly Abdalla,ميت الخوليعبد اللا,31.198,31.633,zarqa-eg1107,Zarqa,مركز الزرقا,Damietta,دمياط
Mit El-Kheir,ميت الخير,30.912,30.838,basyun-eg1608,Basyun,مركز بسيون,Gharbia,الغربية
Mit El-Dereig,ميت الدريج,30.563,31.258,kafr-shukr-eg1411,Kafr Shukr,مركز كفر شكر,Kalyoubia,القليوبية
Mit El-Diba,ميت الديبة,31.123,30.863,qillin-eg1509,Qillin,مركز قلين,Kafr El-Shikh,كفر الشيخ
Mit El-Rakha,ميت الرخا,30.627,31.224,zifta-eg1609,Zifta,مركز زفتى,Gharbia,الغربية
Mit El-Serag,ميت السراج,31.071,31.209,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Mit El-Soudan,ميت السودان,31.101,31.63,dikirnis-eg1209,Dikirnis,مركز دكرنس,Dakahlia,الدقهلية
Mit El-Soudan,ميت السودان,30.86,30.969,tanta-eg1603,Tanta,مركز طنطا,Gharbia,الغربية
Mit El-Sheikh,ميت الشيخ,31.004,31.04,qutur-eg1611,Qutur,مركز قطور,Gharbia,الغربية
Mit El-Shioukh,ميت الشيوخ,31.36,31.723,fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط
Mit El-Sarem,ميت الصارم,31.036,31.433,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Mit El-Amel,ميت العامل,30.899,31.342,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Mit El-Absy,ميت العبسي,30.577,31.246,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Mit El-Ezz,ميت العز,30.61,31.279,mit-ghamr-eg1213,Mit Ghamr,مركز ميت غمر,Dakahlia,الدقهلية
Mit El-Ezz,ميت العز,30.71,31.775,faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية
Mit El-Ezz,ميت العز,30.525,31.093,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Mit El-Attar,ميت العطار,30.438,31.142,banha-eg1402,Banha,مركز بنها,Kalyoubia,القليوبية
Mit El-Farmawy,ميت الفرماوي,30.697,31.341,mit-ghamr-eg1213,Mit Ghamr,مركز ميت غمر,Dakahlia,الدقهلية
Mit El-Qayed,ميت القايد,29.533,31.249,ayat-eg2112,Ayat,مركز العياط,Giza,الجيزة
Mit El-Qorashy,ميت القرشي,30.672,31.379,mit-ghamr-eg1213,Mit Ghamr,مركز ميت غمر,Dakahlia,الدقهلية
Mit El-Qasry,ميت القصري,30.515,31.07,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Mit El-Karam,ميت الكرام,30.677,30.854,tala-eg1707,Tala,مركز تلا,Menoufia,المنوفية
Mit El-Koranaa,ميت الكرماء,31.063,31.34,talkha-eg1211,Talkha,مركز طلخا,Dakahlia,الدقهلية
Mit El-Leit Baqloula,ميت الليتبقلولة,30.756,31.088,santa-eg1604,Santa,مركز السنطة,Gharbia,الغربية
Mit El-Leit Hashem,ميت الليتهاشم,31.019,31.153,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Mit El-Mobashereen,ميت المباشرين,30.824,31.193,zifta-eg1609,Zifta,مركز زفتى,Gharbia,الغربية
Mit El-Mokhles,ميت المخلص,30.797,31.162,zifta-eg1609,Zifta,مركز زفتى,Gharbia,الغربية
Mit El-Moz,ميت الموز,30.581,31.071,shibin-al-kum-eg1702,Shibin al-Kum,مركز شبين الكوم,Menoufia,المنوفية
Mit El-Nahhal,ميت النح ال,31.12,31.547,dikirnis-eg1209,Dikirnis,مركز دكرنس,Dakahlia,الدقهلية
Mit El-Wosta,ميت الوسطي,30.45,31.092,al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية
Mit Amsaleh,ميت أم صالح,30.651,31.044,birkat-al-sab-eg1706,Birkat Al-Sab,مركز بركة السبع,Menoufia,المنوفية
Mit Badr Halawa,ميتبدرحلاوة,30.858,31.233,samannud-eg1610,Samannud,مركز سمنود,Gharbia,الغربية
Mit Badr Khamis,ميتبدرخميس,31.034,31.349,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Mit Barho wa Kafr El-Shaheed,ميتبرهوكفر الشهيد,30.543,31.207,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Mit Bashar,ميتبشار,30.526,31.399,minya-al-qamh-eg1314,Minya al-Qamh,مركز منيا القمح,Sharkia,الشرقية
Mit Tamama,ميتتمامة,31.142,31.621,minya-al-nasr-eg1214,Minya Al-Nasr,مركز منية النصر,Dakahlia,الدقهلية
Mit Gaber,ميت جابر,30.461,31.44,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
Mit Garrah,ميتجراح,30.992,31.571,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Mit Habib,ميت حبيب,30.451,31.508,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
Mit Habib El-Sharqiya,ميت حبيب الشرقية,30.88,31.214,samannud-eg1610,Samannud,مركز سمنود,Gharbia,الغربية
Mit Habeish El-Bahariya,ميتحبيش البحرية,30.782,31.031,tanta-eg1603,Tanta,مركز طنطا,Gharbia,الغربية
Mit Habeish El-Qibliya,ميتحبيش القبلية,30.759,31.039,tanta-eg1603,Tanta,مركز طنطا,Gharbia,الغربية
Mit Hadeed,ميت حديد,31.118,31.675,minya-al-nasr-eg1214,Minya Al-Nasr,مركز منية النصر,Dakahlia,الدقهلية
Mit Halfa,ميتحلفا,30.157,31.245,qalyub-eg1410,Qalyub,مركز قليوب,Kalyoubia,القليوبية
Mit Hamal,ميتحمل,30.433,31.527,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
Mit Haway,ميتحواي,30.803,31.116,santa-eg1604,Santa,مركز السنطة,Gharbia,الغربية
Mit Khodeir,ميتخضير,31.157,31.895,manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية
Mit Khalaf,ميتخلف,30.547,31.053,shibin-al-kum-eg1702,Shibin al-Kum,مركز شبين الكوم,Menoufia,المنوفية
Mit Khamis wa Kafr El-Mogi,ميتخميسوكفر الموجي,31.044,31.362,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Mit Kheiroun,ميتخيرون,31.017,31.447,el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية
Mit Damsis wa Kafr Abu Garg,ميتدمسيسوكفرأبوجرج,30.828,31.237,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Mit Rady,ميت راضي,30.505,31.222,banha-eg1402,Banha,مركز بنها,Kalyoubia,القليوبية
Mit Rabia,ميتربيعة,30.464,30.996,minuf-eg1709,Minuf,مركز منوف,Menoufia,المنوفية
Mit Rabia El-Beida,ميتربيعة البيضاء,30.455,31.538,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
Mit Rabia El-Dalala,ميتربيعة الدلله,30.54,31.441,minya-al-qamh-eg1314,Minya al-Qamh,مركز منيا القمح,Sharkia,الشرقية
Mit Radein,ميتردين,30.572,31.622,abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية
Mit Rakab,ميتركاب,30.547,31.56,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
